entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_NB,PTPD_Puestos_M
Querétaro,subdel,Entre 55 y 60 años,202510,418,397,21,0,79,78,0,1
Querétaro,subdel,Entre 60 y 65 años,202510,179,170,9,0,42,40,0,2
Querétaro,subdel,Entre 65 y 70 años,202510,70,69,1,0,11,11,0,0
Querétaro,subdel,Entre 70 y 75 años,202510,15,15,0,0,3,3,0,0
Quintana Roo,subdel,75 años y más,202510,877,790,87,0,21,21,0,0
Quintana Roo,subdel,Entre 15 y 20 años,202510,585,547,38,0,10,10,0,0
Quintana Roo,subdel,Entre 20 y 25 años,202510,3917,3490,427,0,103,97,0,6
Quintana Roo,subdel,Entre 25 y 30 años,202510,3836,3364,472,0,182,170,0,12
Quintana Roo,subdel,Entre 30 y 35 años,202510,3051,2631,420,0,183,176,0,7
Quintana Roo,subdel,Entre 35 y 40 años,202510,1650,1432,218,0,152,136,0,16
Quintana Roo,subdel,Entre 40 y 45 años,202510,893,776,117,0,95,92,0,3
Quintana Roo,subdel,Entre 45 y 50 años,202510,388,349,39,0,49,45,0,4
Quintana Roo,subdel,Entre 50 y 55 años,202510,141,122,19,0,15,15,0,0
Quintana Roo,subdel,Entre 55 y 60 años,202510,46,39,7,0,9,9,0,0
Quintana Roo,subdel,Entre 60 y 65 años,202510,34,30,4,0,6,5,0,1
Quintana Roo,subdel,Entre 65 y 70 años,202510,6,6,0,0,1,1,0,0
Quintana Roo,subdel,Entre 70 y 75 años,202510,3,1,2,0,0,0,0,0
San Luis Potosí,subdel,75 años y más,202510,727,666,61,0,21,21,0,0
San Luis Potosí,subdel,Entre 15 y 20 años,202510,699,629,70,0,25,24,0,1
San Luis Potosí,subdel,Entre 20 y 25 años,202510,4786,4339,447,0,244,238,0,6
